pid,front_text,back_text
199300849,D-W,GKX
200308344,ISOKET 120,
200000569,일동제약 훼리탑,
199800473,마크,
200300057,HTR,
200400063,H분할선T,G분할선L
200400065,FH,
199600091,젠티 Q,
200500431,SILYCEF,
200500433,Aro-EYE,
200700849,TM,분할선
199900053,HTP,
200702328,NKLE,
200200099,한풍 프론크논,
200200100,GH,
196000003,마크,분할선
200512147,ID분할선PT,분할선
197000211,D-W,M분할선5
198902790,D-WA5,분할선
200109941,D-WA,분할선
200501531,마크,
200811013,분할선,DK25
200808219,GJ,VS2
199400704,PRS5,
200702561,SP VIFAC   75mg,
200805924,WU,TS
200808241,RSN,150mg
199502433,마크 PMD,
200702692,SEL,15
200702739,마크,50
200808226,MM LX,
198501803,마크,
198702203,A,분할선
200100424,CLP,167
200200375,CLP분할선LOX,
200300308,HS,분할선
200400387,Melobic 7.5mg,
200400388,CLP,CL1
200308481,HDP OPC30,
198500245,CLP분할선014,
199100471,HANSEO,D10
200600094,CL,D2
197900544,IDP,분할선
200702802,CR,HD
200702584,hw65,분할선
200702385,분할선,LG Z20
200702572,DS분할선HR,
200703825,LI,
200702525,WAL,500
200612728,마크,LV
200108672,ACTOS,30
200209392,1+5,
200209393,1+2.5,
199303998,,
199303998,D,
200612599,SD분할선CN,
200009386,OP,10
200109958,IR,
200512162,LOW분할선CAL,분할선
200605325,C분할선A,AFM
200209391,2+5,
199604975,RIO RIO,
200605327,ACTIQ200,
200605329,ACTIQ600,
200605330,ACTIQ800,
200605331,ACTIQ1200,
200606263,ACTIQ1600,
200009388,OP,40
200610878,C분할선A,
200210719,SW RIO,
200308509,SWC,
200308510,SWSM,
200604158,J분할선R,Diet
200512177,KS분할선TN,분할선
200604159,BMI,분할선
200604160,BMI,0분할선1
197700537,BR분할선NM,
199600107,EVF,
200108678,C20,
200209622,LILLY4112,
198100697,마크LBT,
198301310,마크,분할선
198501802,마크,분할선
200209427,마크,T분할선4
200410868,UPJOHN17,분할선
200702573,KL FRV,
199400394,CLP,113
200308536,UCB58020mg,
200512181,UCB57910mg,
200512182,UCB58130mg,
200200377,CI1,
200108414,마크034,
200108415,마크044,10
200612611,T11,분할선
199704229,LILLY4115,
199704231,LILLY4117,
200811008,EVF,
200300162,V-B,
200300313,GL분할선2,
200604164,SEL SEL,
200612701,YJLCC,
200612754,파로베 IDP,
200612598,BR CCL,
198500241,CLP,013
198702205,BST2,
199403293,BST1,
200308480,HDP OPC10,
199800514,CLP140,
198000626,DA TRX,
198000627,DA TRH,
200606617,IB,XID
200702384,MLT 센티콜,
200702574,C분할선S,T
200703852,AG,IR
199907332,ATENOLOL50KJ,
198902794,T,W분할선I
198902796,PENID,분할선
198902797,PENID,분할선
199203462,WHANIN,분할선
199203463,마크LBT,
200702534,C,10
200410825,M분할선L,
200703826,IDP L,
200703826,IDP L,
200702358,LU,60
200000601,GODEX마크,
198800355,HSP,024
199700581,HSP,134
200512142,Z분할선10,WPC
200610632,마크 25mg3228,
200610633,마크 40mg 3229,
200610634,마크 60mg 3239,
200400075,한풍 설페린F,
200400078,한풍 드라코에스,
200409973,마크 3105 PROZAC 20mg,
200409973,마크  마크3105 3105,
200300069,바이오파워 바이오파워,
200300070,GH,
200612612,DWB BLS0.2,
200200132,한풍 인후신,
200200133,GH,
200808248,YH,LP
200200134,한풍 향감,
200209630,RENAGEL400,
200510991,,
200610630,마크 10mg3227,
200610631,마크 18mg3238,
199200701,ELT,마크
200400079,한풍 아스카,
198800699,KW VRN,
200009387,OP,20
199900176,V-C,1000
200807312,NP,
198400394,ATL,KW
200400392,CLP,188
200500482,HSP,분할선
200604151,H분할선S,분할선
200807310,HM,S
200100429,CLP,163
200500476,CL,F1
199203481,A,분할선
199203482,UNIMED 50,분할선
200100431,CMT200,
199000876,KW ORN,
197900066,Y분할선Y,YAT
200605323,H분할선L,TA
200511063,1분할선0,분할선
200511064,Neurontin®----------100mg마크,
200511066,Neurontin®----------300mg마크,
200606180,마크STN12.5mg,
200606181,마크STN25mg,
200610660,마크,NV분할선5
199604708,CP분할선LA분할선RI분할선AM분할선,십자분할선
199203279,FCE분할선500,분할선
200307647,SEARLE분할선1461,마크
200307649,U분할선3772,U분할선3772
200307650,U분할선3773,U분할선3773
200008796,XELODA,150
200008798,ROCHE 75mg,
197700120,마크,BR2
200708537,SA ELF,
200807342,H D,VC2
200008771,EXELON4.5mg,
200008772,EXELON6mg,
198300343,마크,BR4
198300344,마크,BR6
200500102,GH,
199604709,ROCHE125,분할선
200604176,PRX,
197000049,마크분할선ST,
200409931,U64,분할선
199906916,COMTAN,
200108800,K1,
200409932,UPJOHN50,분할선
200409933,U,286분할선286
199704368,마크분할선300,분할선
199704369,150마크,
200511035,FV750,
200511036,마크DynaCirc SRO    5mg,
200511037,,
200410071,LCE50,
200210689,D2,
200108739,분할선,분할선
200603863,CH,NVR
200603865,CU,NVR
200410066,USB 001,
200307794,5,
200511023,1.25,M
200008764,분할선,분할선
200511029,XR,500
200600522,YCR,75
200307815,ZADITEN 1,분할선
200307816,G분할선K,CG
199403112,NVR25mg,
199504165,NVR100mg,
199604694,XU 20mg,
200400084,G분할선H,
197700525,마크,D분할선Z
200410070,X분할선C,SANDOZ
199203393,ROCHE ROCHE,
200410072,LCE 100,
200410073,LCE 150,
200307809,HO,CG
200511049,T150,
200610658,십자분할선,십자분할선
200410067,D분할선O,NVR
201103297,Be,
200610651,T25,
200607634,BNVA,150
200610652,CellCept250Roche,
200108816,마크,VOR 50
199602451,YPP LACTO,
199704612,H분할선C,
199704618,HN10,
200108763,D분할선V,NVR
200410087,마크,CDT051
200410088,마크,CDT052
200410089,마크,CDT054
200410090,ATV,10
200511055,마크 ZDX     60,
200108764,DX분할선DX,NVR
200008776,T분할선D,C분할선G
200008778,TF분할선TF,CG분할선CG
200511056,마크 ZDX     80,
200511057,마크 PGN     75,
200511058,마크 PGN    150,
200400083,비엠쿨 비엠쿨,
200000173,한풍 지민,
198501196,HNRNT,
200307807,C,
200603856,,
200603859,J500,NVR
200603860,J250,NVR
200610653,ROC0.25,
199304176,마크,
200603861,J125,NVR
200108765,FV,CG
200209695,HHH,CG
200410081,마크,VGR25
200410082,마크,VGR50
200410085,ATV,20
200410086,ATV,40
200307799,100분할선mg,CLOZARIL
198800487,TBC 1000,
200511102,SFD,
200807365,DWP,DX분할선XD
200300470,SAMIL분할선150,
200209893,ucb분할선250,
200209894,ucb분할선500,
200209895,ucb분할선1000,
200511125,마크,
199200653,SR,
199700840,마크 MKC,
198900528,마크 PBF,
199900600,CMS 10,
200100397,헤모바이 헤모바이,
200500630,마크,RP1
200600138,마크LZ15,
199604751,,
197500654,MHT,
200702200,C분할선5,KW
200808253,CC,
200702259,CT,LV
199500324,AMTOX AMTOX,
197000050,GS분할선FE7,
200511106,TEMODAL=20mg=,=마크=
200511107,TEMODAL=100mg=,마크
200511108,TEMODAL=250mg=,=마크=
199605130,분할선,마크
199907323,마크,CSP
200603815,7767100,
200610661,마크 ZDX     40,
200511067,마크,ZTM 250
200511068,마크,ZLT분할선50
200000537,KJ25,
200603872,VN,분할선
200605253,NT분할선16,분할선
200200135,한풍 디프콜,
200009616,EVF,
199900067,EVF,
200512161,M분할선K,SM
197800024,GH,
200606428,AP분할선T150,
200008568,마크4,
200606183,NT분할선26,분할선
199906840,ESTRACYT？？KPh750,
200108384,마크 2,
200409929,SEARLE39,
200404042,CFRS,분할선
199701035,KUMWON,
200705782,SWG,
200400347,마크 CFX,
200500451,마크50,
200600087,마크,54
199400373,마크 6,
199304304,ET100,
199806592,P,
198800245,HD,분할선
199504276,650,
200307980,A,3
200300296,HA분할선HA,분할선
200400339,마크45,
200400340,마크1,
200702260,IHP,LV
199304303,ET200,
198500649,LMQ,
200612350,마크,
200109139,MSD711,SINGULAIR
200410337,414,
200511262,311,
200511263,312,
200511266,710,마크
199504273,654,
199806931,M100,
199604928,521,
197600036,CKD 500,
200009061,마크,31
200009062,MSD275,SINGULAIR
200009063,MSD117,SINGULAIR
200702749,Pcx50,KW
199201002,CLO,분할선
199601062,JRP DIST50,
199701265,I∩I,2
199101033,J분할선LM,
197900226,마크,분할선
200702503,L분할선G,S200
200100664,마크,MC200
197000053,마크분할선AC,분할선
199101028,TXD,
200808273,VH16,CKD
197900575,마크분할선SD분할선마크분할선SD,마크분할선SD분할선마크분할선SD
200702709,CSY MUC,
200702734,HM,30
197800143,마크FB,
200001407,훼모콘 JRP,
200808247,RY,16
198100015,BM,G6
200100660,GCT,
198000170,SAMIL분할선PB1,
200702769,KN CH,
198200184,FDC 200,
200401221,JT,
200401222,FURA JRP,
199101039,JR분할선3,
198900887,JRD150,
199101034,J분할선O,
199101035,JM,
199801158,MUCORID JRP 200mg,
199901117,써큐메타,
200511277,1mg마크617,1mg마크617
200109233,마크121,
200606210,마크557,
200802618,RP HH,
200300867,JRP DTF,
200300878,JRP200,
200300879,J-DUO,
200308647,JRP분할선G10,
199901118,GLUZIN JRP,
200300886,JRPRRX,
199101049,DBS,분할선
199801165,JRRX,
200501155,SLN,
199701271,JRP분할선G20,
200101018,ALZA150 ALZA150,
200101022,J분할선10,
200001426,JRG,
200001427,JRP,MT250
200702521,C분할선V,12
199504249,0.1,분할선
199504250,0.2,분할선
200001430,1,분할선
199201006,CEFACLOR JRP 250mg,
200501158,JR분할선D,
199101060,E10,분할선
199701269,J분할선C,
199601064,JRPM,
199801155,J.R,
200101023,JRP분할선4,JRP분할선4
200200921,콘티푸로스,
199901116,레디씬 Ladythin,
200401219,JRP,
199704519,500분할선mg,PENTASA
200702523,마크,1
200700012,RPANL,
199601059,PROMICIN JRP 75mg,
198900886,J.R,
199601061,코로민 COROMIN,
200811020,S분할선J,S10
200702543,마크,2
200307996,APO분할선50,
200410344,IN1.25,마크
200401199,JRI,
200401202,CRO,
200210304,마크 PTG,
199600386,Raxitin Raxitin,
200807363,A분할선G,V8
200807364,S분할선I,16
200702513,TND,마크분할선마크
200501141,NBT JRP,
200501145,JRFC,
200607835,JRP,M500
200808309,KIM,LEF
200803835,PBKSTZ,
200101016,J.R,
199200869,DTN 90,
199200870,DTN 180,
199907155,U200,P분할선F
199907156,U 400,P분할선F
200401235,JR분할선CRX,
199806740,T150,
198000234,INOPLIX,분할선
200300896,멕스비오 F,
200300898,JRP,
200009264,,
200200076,SP,CLT625
199907231,FT01,분할선
200702367,PT,15
200703261,GTZ,15
200210519,CALTRATE,+분할선600
200308356,0.625,
200802220,AT,마크
200802225,RY DPC,
200510974,마크213,30
200702314,SS,M분할선5
200511293,BL 01,분할선
200607838,JR CQM,
200501099,TG분할선HR,
200705452,YMT,
200702296,마크,M분할선5
200511803,MATERNA,U분할선3
199806820,,
200702616,마크,
200808240,ALPHA AZE,
199907243,0.625/2.5,
199907244,0.625/5,
200804995,SZ15,분할선
200210513,RAPAMUNE 1mg,
199907249,1.25,
200308353,마크75,
200308354,마크37.5,
198800164,마크,
200700636,ZMR,
200009077,H,분할선
200807360,0.5mgHanmi,
200401209,S,분할선
200401211,FMZ,
200300903,RTN,
200401233,JR,
200501148,ND분할선5,JRP
200501150,실마론,
197100088,ASPENTAL JRP,
200401242,JRPFLT,
199101038,JRB,
200500171,MX 7.5mg,
200807411,SJ,16
200300119,DPC KNS,
199900121,마크,
198900123,BM,D9
198800247,MAF,
200300212,마크,
200300213,CLM,
200500314,MCX 15mg,
200300215,V분할선V,
200300216,Lp,분할선
199400179,마크,
199400171,DK,10
199400172,DKP,분할선
198900184,마크,
199300354,Tr,
199100118,RMTL100,
200500181,FN,250
199600195,마크,마크
199600199,DPC CS100,
199600203,마크,
199700048,SP,500
200308324,M분할선,1분할선0
200410512,EK,
200410513,E분할선L,
200410603,E100,
200410505,F5,
200511386,R분할선2.5,분할선
199500155,DPC,
200410508,BIS5,십자분할선
200410509,FC50,
200410511,C4분할선,분할선
200511387,C20,분할선
200109301,BLL1,분할선
200700633,TJGLN4,분할선
200700632,TJGLN2,
200410363,BMS200mg3631,
199701393,MK NG1,
199806918,KP,분할선
200606351,마크05,
200606351,마크05,
200000020,S분할선P,BST
200807367,DWP,D분할선T
200807387,510,YJ
200807366,S분할선I,8
200702551,CP,20
199304443,BMS 303 BMS 303,
200100244,VPE,
198600123,YUYU,RXB
200702263,KMS L9,분할선
200702272,MT,500
200702545,C,20
201110563,CΛF,
197700192,CH,
200500454,마크41,분할선
200101728,CLV 10,
200705325,WJZ,
200200388,RM,KI
199400447,TS,마크
199900377,마크 4,
199200518,AMC,KI
199500386,PU6,
200000613,SP,마크
200300324,C,마크
198200135,UMC UMC,
200410715,Calteo,40
200410716,Calteo,8분할선0
200100412,마크분할선27,
199800506,마크21,
200500500,CF,KI--
199900124,마크,
200300106,마크,분할선
200410502,F20,
200410504,R분할선5,분할선
200604084,Y,
200610765,Z분할선Z,
200607636,N분할선N,분할선
200300217,MCX 7.5mg,
200704535,PEROCIA,YH
198000147,마크 NPC100,
198600289,LODINE200,
200705282,마크N,분할선
200300298,마크 REC,
200000609,CLTS,분할선
199200514,AMC,K분할선I
199200515,ΛMC,KI
199800553,BFLS마크,
201800184,JDT,
200308375,CITE-D,분할선
198400182,VENORON 300,
198500226,마크 AFL,
200400217,SLS 0.2mg,
200400219,CLM500,
200500306,FAC,PAC
200500308,2.5분할선R,분할선
200500309,마크 PGT100,
200500310,마크 PGT400,
200400127,TPN,
199200317,LVT,
200300208,KTR·PAC,
200511377,HHH,CG
200511378,D분할선V,NVR
200511379,DX분할선DX,NVR
200511380,D분할선O,NVR
200511382,LE,NVR
200511383,마크XU20mg,
200000242,DK,
198200050,5,
200612341,CNQ,
200100125,마크,
200100286,LV,마크
200600055,10R,
200400124,DK분할선DK,분할선
200400129,DPC TINADERM,
200100290,RE,
200702577,NGP,
200811404,마크분할선C16,
200607680,마크,75
200410498,FI5,
200300202,PZ4,
200300204,GL GL,분할선
200300206,P EST,
200300207,ACF,마크
200511384,XU 40mg,
200511385,O,8
199400114,B분할선M,D분할선5
198902514,DEBIS,
200400315,KJ,RBM
199704687,CKD,
199502668,HL072,분할선
199200643,S,
199200644,마크,
200000930,마크,D300
200200503,마크,분할선
198600367,마크,S
200300441,B,분할선
199100346,KJ,KJ
200400548,레버맥스,
200400550,M분할선L,
200000801,복합우루사,
198500321,D.W 500,
200300459,CCT,
200000932,C분할선D,마크
200300461,마크 CFX,
200605374,YH VT,
198600365,마크,분할선
199800979,100 100,
200500196,SLB140,
200500211,마크,70mg
200600090,마크,마크
199900353,H·A PRZ,
199300486,마크분할선15,
200500473,마크39,
200512236,ID,
200605358,마크,마크
200605358,마크,마크
200605358,마크,마크
198600282,마크 MCR,
200400135,DPC,
198600235,ID·S,
200001243,CVT20,분할선
200400138,DPC,분할선
200400143,ATN,
200500188,PTM,
200500409,KJ,ITR
200500410,KJFINA,십자분할선
199800455,KUKJE ΛR,
199900342,PROPAKJ,
198200120,TB1KJ,
199700833,마크,ROX
199000441,Prandin,십자분할선
199600216,M,분할선
198800316,TB2KJ,
200300262,FCZ 50,
200300437,마크,분할선
200400538,마크,FLP
200200343,IDP LAC,
200600127,T4,마크
200600128,BI5,분할선
199400540,마크,CPF
199600625,마크,325
200512240,KW PDW   100,
200001275,L,마크
200100857,LPR 200,
199800785,마크 MRL,
199200876,KW CFC,
200512238,PT2,
199801012,LT,ΛLK
199500696,DVR,분할선
200300307,마크31,
200400383,마크36,
200400384,마크 MLC,
200400386,마크분할선30,
200000919,마크 NEX,
200400382,마크10,분할선
200200766,FLU 50,
200500969,FCR,분할선
199701131,M,K분할선W
200410941,P,KW
199900409,마크,
200200365,마크12,
200200368,ha,
200200369,ha,분할선2
200100418,BCS 250,
199000383,,
200400361,마크500,
197200084,JEILKT40,
200811019,SFM,분할선
199800991,ADS,
200400369,마크,46
200400372,마크 CFD,
200400377,마크,분할선
200200373,LSP LSP,
200400999,NF,40
200500961,AD분할선5,KW
200500963,LT50,분할선
199300766,마크 CRO,
199701129,NEB,
199100923,KSC분할선KW,
199100925,K분할선200,
200807430,ΛJ,8
198500515,SMG,KW
199801011,NPR,분할선
199300208,NAXEN-F500,분할선
198400399,KW,
198600539,ASP,KW
200410942,PT4,
199100461,마크 18,분할선
199500335,마크19,
200000596,아미노탑 아미노탑,
200300306,마크 16,
199800976,TLN B200,
200000912,CMS,
200300424,KOLON375,
199700808,6분할선0,K분할선L
200300430,KOLON,분할선
199200698,T200,마크
200600207,DTR 4,
200001267,TPX TPX,
199400579,마크 CFC,
199400584,AB분할선30,
199400586,마크 DRCF500,
199900547,KLN분할선,LP
198800257,KS,DI
200400519,KLN GPC300,
200500581,KLN,분할선
200500585,CLP,KLN
200600125,KL,10
198900577,AT분할선50,
199500466,KOLON분할선PHARM,
199600597,KLN AL,
199100626,KLN TRTC,
199900260,SL 6,
199600671,TAM,
197200160,FR분할선FR,
197800242,NAT,
200300431,KLN RTN37,
199800324,SL,분할선
200600046,MXL,YY
200807473,마크,4분할선0
199300997,,
200200322,KJ LST,
200400304,GLV분할선KJ,
198800445,KLN PLCC,
200300260,KJN,
199200421,KJPARADOL,
200400524,NT,
199700811,KLN LMXC,
200009496,STX,K분할선W
199800308,KS,AT
199800316,CGP34,
200400528,KOLON,AM분할선5
199700812,KLN분할선,50
200500589,KOLON,CFZ
200500659,L10,분할선
200807474,마크 160,분할선
200300251,KJ EPT,
200300253,LDP,
200400299,KJZE,
200400300,K분할선J,VD
200400301,UST,
200703803,NVR,ECE
199300414,KUKJE KEMOCIN,
197900095,ROXKJ,
200807373,M분할선P,
200402138,마크,GB분할선800
200401068,RTSCD,
198100081,Tricef Tricef,
199800454,KUKJELE,
200100590,YH,OR
198500191,KJ CFD,
198300132,KJ Tricef    500,
198200117,TTCKJ,분할선
200807431,ΛJ,16
199700526,FLTKJ,
200400559,마크 LPZ,
200000934,ML NARSIN,
200300462,마크 CRX,
200400561,마크 CFC,
200400565,마크,C분할선D
200400570,마크,분할선
200400573,마크 Conasal,
200400580,마크,UC
200600135,마크,M분할선L
198100132,마크,분할선
200500386,KJ NPT   300mg,
200500388,KJ MF 15,
200500389,KJ NPT   100mg,
200500390,KJ,ΛLD70
200500391,KJ,LZ
200500392,KJ,IT
200500395,KJ,UR
200500400,KJ,VEGLIS3
200600077,RA,
200605354,KJ,FNA
200400479,DW분할선B,분할선
199200406,b분할선d,b분할선d
198200157,JEILSG200,
198200118,TTC KJ,
199800446,KJ FLR,
199800447,K분할선J,ZRX
198300130,ONPKJ,
199300406,KJ UND,
200400578,R분할선S,마크
200500605,M분할선L,
197500140,마크 MT50,
199000589,BIC,
198600368,마크,200
200000936,마크 Orateo,
199700977,IHAC25,
199200350,SCL2,2
198400131,KS S,
199700490,SL,T1
200000495,CGP HRD,
200702690,R20,
200200826,GP-F,
200401093,AG GP300,
200300757,SCD RS,
200300762,아이젠S,
200703308,SD SPN,
200001578,M,
198800284,SL AZT,
199400333,SL CEF,
200500665,PZ40,
200606320,THR,마크
199400570,TM,
199700688,JEILSB,
199900755,ACIS 200,
200702202,SJ,1분할선2
200400925,FRV-P,
200500887,Q10,YJP
199700940,D-W,P분할선M
200400798,TZ,I분할선H
200400799,IH,PV
200110047,DS CFX,
200200641,D-WACE,
200401085,,
200501004,십자분할선,SCDPA
200400801,IH분할선GP,분할선
200400802,IH,T분할선F
200400803,IH,S
200400804,IHP FXT,
199801075,SCD,분할선
199700945,D-WROX,
200708031,마크,GC
199600319,SL,LI
200000909,KOLON,LVP
200100602,KLN RTN75,
199300385,SL,
200703600,SCD,15
198100698,B분할선GL,분할선
200411018,CGP FLC,
200300392,AL,분할선
198800286,CGP 33,
200600109,C분할선V,500
199600559,AMX,
199700978,IH AC50,
199101125,I분할선Y,HT
199000272,SL TNC,
199103336,A,A
199100628,FRT,
199800751,K,분할선
199700692,T,분할선
199300759,K 분할선L,분할선
198900504,KOLON OLYB,
199000574,KOLON,십자분할선
200308836,CGP3,분할선
200411015,SPP,분할선
200300241,SL,
200400271,SL7,
200400272,CGP LSC,
200400275,SL HPC,
200400276,S분할선L,2분할선1
200001344,SCD,GC2
198500668,IYP500 IYP500,
200500587,HL V75,
199300386,CGP,분할선
200400278,SL,L2
199300384,SL RSK,
